district,date,month,visitors,year
Khammam,2019-11-01 00:00:00,November,0,2019
Khammam,2016-10-01 00:00:00,October,0,2016
Khammam,2017-10-01 00:00:00,October,0,2017
Khammam,2018-10-01 00:00:00,October,0,2018
Khammam,2019-10-01 00:00:00,October,0,2019
Khammam,2016-09-01 00:00:00,September,0,2016
Khammam,2017-09-01 00:00:00,September,0,2017
Khammam,2018-09-01 00:00:00,September,0,2018
Khammam,2019-09-01 00:00:00,September,0,2019
Komaram Bheem Asifabad,2016-04-01 00:00:00,April,0,2016
Komaram Bheem Asifabad,2017-04-01 00:00:00,April,0,2017
Komaram Bheem Asifabad,2018-04-01 00:00:00,April,0,2018
Komaram Bheem Asifabad,2019-04-01 00:00:00,April,0,2019
Komaram Bheem Asifabad,2016-08-01 00:00:00,August,0,2016
Komaram Bheem Asifabad,2017-08-01 00:00:00,August,0,2017
Komaram Bheem Asifabad,2018-08-01 00:00:00,August,0,2018
