district,date,month,visitors,year
Jogulamba Gadwal,2017-01-01,January,214887,2017
Jogulamba Gadwal,2016-07-01,July,0,2016
Jogulamba Gadwal,2018-07-01,July,114951,2018
Jogulamba Gadwal,2019-07-01,July,114951,2019
Jogulamba Gadwal,2017-07-01,July,160182,2017
Jogulamba Gadwal,2016-06-01,June,0,2016
Jogulamba Gadwal,2019-06-01,June,155013,2019
Jogulamba Gadwal,2017-06-01,June,160182,2017
Jogulamba Gadwal,2018-06-01,June,160182,2018
Jogulamba Gadwal,2016-03-01,March,0,2016
Jogulamba Gadwal,2017-03-01,March,155013,2017
Jogulamba Gadwal,2018-03-01,March,155013,2018
Jogulamba Gadwal,2019-03-01,March,155013,2019
Jogulamba Gadwal,2016-05-01,May,0,2016
Jogulamba Gadwal,2017-05-01,May,131426,2017
Jogulamba Gadwal,2018-05-01,May,131426,2018
Jogulamba Gadwal,2019-05-01,May,154609,2019
Jogulamba Gadwal,2018-11-01,November,128075,2018
Jogulamba Gadwal,2019-11-01,November,128075,2019
Jogulamba Gadwal,2016-11-01,November,188170,2016
Jogulamba Gadwal,2017-11-01,November,188170,2017
Jogulamba Gadwal,2016-10-01,October,152898,2016
Jogulamba Gadwal,2017-10-01,October,152898,2017
Jogulamba Gadwal,2018-10-01,October,152898,2018
Jogulamba Gadwal,2019-10-01,October,152898,2019
Jogulamba Gadwal,2016-09-01,September,0,2016
Jogulamba Gadwal,2018-09-01,September,121710,2018
Jogulamba Gadwal,2017-09-01,September,123733,2017
Jogulamba Gadwal,2019-09-01,September,131485,2019
Kamareddy,2016-04-01,April,0,2016
Kamareddy,2019-04-01,April,41,2019
Kamareddy,2018-04-01,April,45,2018
Kamareddy,2017-04-01,April,46,2017
Kamareddy,2016-08-01,August,0,2016
Kamareddy,2017-08-01,August,40,2017
Kamareddy,2019-08-01,August,50,2019
Kamareddy,2018-08-01,August,55,2018
Kamareddy,2017-12-01,December,41,2017
Kamareddy,2016-12-01,December,42,2016
Kamareddy,2018-12-01,December,43,2018
Kamareddy,2019-12-01,December,45,2019
Kamareddy,2016-02-01,February,0,2016
Kamareddy,2019-02-01,February,41,2019
Kamareddy,2018-02-01,February,44,2018
Kamareddy,2017-02-01,February,50,2017
Kamareddy,2016-01-01,January,0,2016
Kamareddy,2019-01-01,January,42,2019
Kamareddy,2018-01-01,January,44,2018
Kamareddy,2017-01-01,January,58,2017
Kamareddy,2016-07-01,July,0,2016
Kamareddy,2017-07-01,July,41,2017
Kamareddy,2018-07-01,July,48,2018
Kamareddy,2019-07-01,July,50,2019
Kamareddy,2016-06-01,June,0,2016
Kamareddy,2017-06-01,June,41,2017
Kamareddy,2019-06-01,June,41,2019
Kamareddy,2018-06-01,June,56,2018
Kamareddy,2016-03-01,March,0,2016
Kamareddy,2017-03-01,March,41,2017
Kamareddy,2018-03-01,March,45,2018
Kamareddy,2019-03-01,March,45,2019
Kamareddy,2016-05-01,May,0,2016
Kamareddy,2019-05-01,May,46,2019
Kamareddy,2018-05-01,May,49,2018
Kamareddy,2017-05-01,May,60,2017
Kamareddy,2016-11-01,November,38,2016
Kamareddy,2018-11-01,November,41,2018
Kamareddy,2017-11-01,November,43,2017
Kamareddy,2019-11-01,November,46,2019
Kamareddy,2017-10-01,October,38,2017
Kamareddy,2019-10-01,October,46,2019
Kamareddy,2016-10-01,October,47,2016
Kamareddy,2018-10-01,October,62,2018
Kamareddy,2016-09-01,September,0,2016
Kamareddy,2018-09-01,September,40,2018
Kamareddy,2017-09-01,September,41,2017
Kamareddy,2019-09-01,September,41,2019
Karimnagar,2019-04-01,April,5623,2019
Karimnagar,2018-04-01,April,5830,2018
Karimnagar,2017-04-01,April,8630,2017
Karimnagar,2016-04-01,April,956959,2016
Karimnagar,2019-08-01,August,5480,2019
Karimnagar,2018-08-01,August,8480,2018
Karimnagar,2017-08-01,August,10952,2017
Karimnagar,2016-08-01,August,1018399,2016
Karimnagar,2018-12-01,December,7800,2018
Karimnagar,2019-12-01,December,7898,2019
Karimnagar,2017-12-01,December,13065,2017
Karimnagar,2016-12-01,December,13890,2016
Karimnagar,2019-02-01,February,6480,2019
Karimnagar,2018-02-01,February,9330,2018
Karimnagar,2017-02-01,February,10845,2017
Karimnagar,2016-02-01,February,779960,2016
Karimnagar,2019-01-01,January,10285,2019
Karimnagar,2018-01-01,January,13505,2018
Karimnagar,2017-01-01,January,14425,2017
Karimnagar,2016-01-01,January,1984442,2016
Karimnagar,2019-07-01,July,5192,2019
Karimnagar,2018-07-01,July,6686,2018
Karimnagar,2017-07-01,July,12350,2017
Karimnagar,2016-07-01,July,401047,2016
Karimnagar,2019-06-01,June,3871,2019
Karimnagar,2018-06-01,June,7180,2018
Karimnagar,2017-06-01,June,10542,2017
Karimnagar,2016-06-01,June,914746,2016
Karimnagar,2019-03-01,March,6634,2019
Karimnagar,2018-03-01,March,7205,2018
Karimnagar,2017-03-01,March,9625,2017
Karimnagar,2016-03-01,March,1018399,2016
Karimnagar,2019-05-01,May,3393,2019
Karimnagar,2018-05-01,May,5689,2018
Karimnagar,2017-05-01,May,8890,2017
Karimnagar,2016-05-01,May,1095642,2016
Karimnagar,2019-11-01,November,7101,2019
Karimnagar,2018-11-01,November,7145,2018
Karimnagar,2017-11-01,November,8705,2017
Karimnagar,2016-11-01,November,13350,2016
Karimnagar,2018-10-01,October,6118,2018
Karimnagar,2019-10-01,October,6799,2019
Karimnagar,2017-10-01,October,8371,2017
Karimnagar,2016-10-01,October,13675,2016
Karimnagar,2017-09-01,September,7576,2017
Karimnagar,2018-09-01,September,8480,2018
Karimnagar,2019-09-01,September,8735,2019
Karimnagar,2016-09-01,September,956959,2016
Khammam,2018-04-01,April,126553,2018
Khammam,2017-04-01,April,135920,2017
Khammam,2019-04-01,April,135920,2019
Khammam,2016-04-01,April,971622,2016
Khammam,2018-08-01,August,86309,2018
Khammam,2019-08-01,August,111374,2019
Khammam,2017-08-01,August,129159,2017
Khammam,2016-08-01,August,503654,2016
Khammam,2016-12-01,December,116403,2016
Khammam,2019-12-01,December,124525,2019
Khammam,2018-12-01,December,135600,2018
Khammam,2017-12-01,December,137825,2017
Khammam,2019-02-01,February,98471,2019
Khammam,2018-02-01,February,104444,2018
Khammam,2017-02-01,February,115470,2017
Khammam,2016-02-01,February,407533,2016
Khammam,2018-01-01,January,110094,2018
Khammam,2019-01-01,January,123550,2019
Khammam,2017-01-01,January,132528,2017
Khammam,2016-01-01,January,651827,2016
Khammam,2018-07-01,July,85932,2018
Khammam,2019-07-01,July,103260,2019
Khammam,2017-07-01,July,105102,2017
Khammam,2016-07-01,July,414963,2016
Khammam,2019-06-01,June,127270,2019
Khammam,2018-06-01,June,135988,2018
Khammam,2017-06-01,June,138158,2017
Khammam,2016-06-01,June,445862,2016
Khammam,2019-03-01,March,91340,2019
Khammam,2017-03-01,March,101878,2017
Khammam,2018-03-01,March,127152,2018
Khammam,2016-03-01,March,458527,2016
Khammam,2019-05-01,May,130971,2019
Khammam,2018-05-01,May,135189,2018
